sample	reference	bampath	filename
TCGA-05-4382-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-05-4382-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-05-4382-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-35-4122-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-35-4122-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-35-4122-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-35-5375-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-35-5375-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-35-5375-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-38-7271-11A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-38-7271-11A-01D-A46H-10_wgs_Illumina.bam	TCGA-38-7271-11A-01D-A46H-10_wgs_Illumina.bam
TCGA-38-A44F-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-38-A44F-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-38-A44F-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-2655-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-2655-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-2655-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-3398-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-3398-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-3398-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-4112-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-4112-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-4112-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-5643-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-5643-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-5643-10A-01D-A46H-10_wgs_Illumina.bam
TCGA-44-6778-10A-01D-A46H-10	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/ref/GRCh37-lite.fa	/gscmnt/gc3024/dinglab/medseq/Noncoding_eQTL/LUAD_driverless/bam/TCGA-44-6778-10A-01D-A46H-10_wgs_Illumina.bam	TCGA-44-6778-10A-01D-A46H-10_wgs_Illumina.bam
